OBJECTID,ZIP,ZIP_dbl,Total_Population_2010,Total_Population_2011_2015_ACS,Population_25_years_and_over,Less_than_HS_or_GED,Percent_Less_than_HS_or_GED,BA_or_Higher,Percent_BA_or_Higher,GlobalID,last_edited_date
32,30328,30328,30348,34456,25372,730,2.9,16597,65.4,{BF752BDE-CB0F-44BC-BDB7-583A1C2F4FCC},
33,30008,30008,29822,32905,20488,4487,21.9,4817,23.5,{2E4DCB51-DA20-4712-9527-7975B2BBA4AE},
34,30260,30260,23244,26884,17243,4272,24.8,2359,13.7,{38D37ADB-578F-45A2-B8DF-651D030F0CBE},
35,30093,30093,53351,56052,32900,10262,31.2,5326,16.2,{A2ABF53E-06E3-4473-87CE-8E1CDED75EA4},
36,30346,30346,4696,5263,4541,126,2.8,3330,73.3,{7B380B08-5793-456E-8955-6EE62922177B},
37,30340,30340,29394,30978,19628,5684,29,5220,26.6,{EF72A7C7-CC03-48F8-8914-B59CBB175F12},
38,30047,30047,59660,62325,41161,6034,14.7,15139,36.8,{5F5CC154-2172-42F8-BE0A-6F5A068005DE},
39,30319,30319,38423,39007,29616,1647,5.6,21307,71.9,{0E3BA1B3-14CE-4A2E-A89F-5EA6D55318D8},
40,30341,30341,31793,31914,22416,3916,17.5,10841,48.4,{5F1C08DB-1A55-4DA8-B92A-C1C0E1CC0772},
41,30339,30339,18304,21250,15921,571,3.6,11054,69.4,{2ECC06A3-4563-4BCE-A40E-18A6E797FFC8},
42,30342,30342,29879,31027,20503,2045,10,13366,65.2,{5474CFDC-749E-4326-B588-2E2E61E97F80},
43,30080,30080,49905,54407,38693,3873,10,19906,51.4,{4AF87527-BF08-435F-8562-B102276DA76D},
44,30078,30078,33057,35206,22770,1290,5.7,8290,36.4,{0AB65625-F9A5-4AB2-83F1-2D967D76D1B1},
